time 200.31, 4.687500% cpu usage
time 200.81, 7.812500% cpu usage
time 201.31, 7.031250% cpu usage
time 201.81, 6.250000% cpu usage
time 202.31, 7.031250% cpu usage
time 202.81, 7.751938% cpu usage
time 203.31, 6.250000% cpu usage
time 203.81, 4.580153% cpu usage
time 204.31, 7.936508% cpu usage
time 204.81, 5.384615% cpu usage
time 205.31, 6.299213% cpu usage
time 205.81, 6.201550% cpu usage
time 206.32, 5.468750% cpu usage
time 206.82, 7.812500% cpu usage
time 207.32, 5.468750% cpu usage
time 207.82, 7.812500% cpu usage
time 208.32, 6.250000% cpu usage
time 208.82, 7.812500% cpu usage
time 209.32, 7.812500% cpu usage
time 209.82, 6.250000% cpu usage
time 210.32, 7.031250% cpu usage
time 210.82, 7.031250% cpu usage
time 211.32, 8.593750% cpu usage
time 211.82, 7.031250% cpu usage
time 212.32, 6.250000% cpu usage
time 212.82, 6.250000% cpu usage
time 213.32, 7.812500% cpu usage
time 213.82, 7.031250% cpu usage
time 214.33, 8.593750% cpu usage
time 214.83, 7.031250% cpu usage
time 215.33, 7.692308% cpu usage
time 215.83, 6.201550% cpu usage
time 216.33, 7.142857% cpu usage
time 216.83, 6.923077% cpu usage
time 217.33, 5.426357% cpu usage
time 217.83, 7.812500% cpu usage
time 218.33, 6.250000% cpu usage
time 218.83, 7.812500% cpu usage
time 219.33, 8.593750% cpu usage
time 219.83, 4.687500% cpu usage
time 220.33, 6.250000% cpu usage
time 220.83, 5.468750% cpu usage
time 221.33, 5.468750% cpu usage
time 221.84, 6.250000% cpu usage
time 222.34, 6.250000% cpu usage
time 222.84, 6.250000% cpu usage
time 223.34, 7.031250% cpu usage
time 223.84, 7.031250% cpu usage
time 224.34, 5.468750% cpu usage
time 224.84, 5.468750% cpu usage
time 225.34, 7.812500% cpu usage
time 225.84, 5.468750% cpu usage
time 226.34, 7.031250% cpu usage
time 226.84, 7.031250% cpu usage
time 227.34, 5.468750% cpu usage
time 227.84, 10.937500% cpu usage
time 228.34, 6.060606% cpu usage
time 228.84, 7.086614% cpu usage
time 229.34, 3.100775% cpu usage
time 229.85, 5.468750% cpu usage
time 230.35, 6.250000% cpu usage
time 230.85, 5.468750% cpu usage
time 231.35, 3.968254% cpu usage
time 231.85, 5.384615% cpu usage
time 232.35, 4.687500% cpu usage
time 232.85, 6.250000% cpu usage
time 233.35, 6.250000% cpu usage
time 233.85, 6.250000% cpu usage
time 234.35, 7.812500% cpu usage
time 234.85, 5.468750% cpu usage
time 235.35, 7.812500% cpu usage
time 235.85, 7.031250% cpu usage
time 236.35, 7.031250% cpu usage
time 236.85, 3.906250% cpu usage
time 237.35, 6.250000% cpu usage
time 237.85, 7.031250% cpu usage
time 238.36, 4.687500% cpu usage
time 238.86, 6.250000% cpu usage
time 239.36, 4.687500% cpu usage
time 239.86, 6.250000% cpu usage
time 240.36, 6.870229% cpu usage
time 240.86, 3.937008% cpu usage
time 241.36, 5.511811% cpu usage
time 241.86, 6.870229% cpu usage
time 242.36, 6.250000% cpu usage
time 242.86, 6.250000% cpu usage
time 243.36, 7.874016% cpu usage
time 243.86, 6.299213% cpu usage
time 244.36, 5.384615% cpu usage
time 244.86, 5.468750% cpu usage
time 245.37, 4.687500% cpu usage
time 245.87, 4.687500% cpu usage
time 246.37, 6.250000% cpu usage
time 246.87, 6.250000% cpu usage
time 247.37, 6.250000% cpu usage
time 247.87, 5.468750% cpu usage
time 248.37, 7.031250% cpu usage
time 248.87, 7.031250% cpu usage
time 249.37, 7.031250% cpu usage
time 249.87, 5.468750% cpu usage
time 250.37, 5.468750% cpu usage
time 250.87, 4.687500% cpu usage
time 251.37, 6.153846% cpu usage
time 251.87, 6.201550% cpu usage
time 252.38, 6.976744% cpu usage
time 252.88, 4.687500% cpu usage
time 253.38, 7.086614% cpu usage
time 253.88, 5.426357% cpu usage
time 254.38, 6.250000% cpu usage
time 254.88, 7.812500% cpu usage
time 255.38, 7.031250% cpu usage
time 255.88, 6.250000% cpu usage
time 256.38, 6.250000% cpu usage
time 256.88, 5.468750% cpu usage
time 257.38, 6.250000% cpu usage
time 257.88, 7.812500% cpu usage
time 258.38, 6.250000% cpu usage
time 258.88, 6.250000% cpu usage
time 259.38, 5.468750% cpu usage
time 259.88, 6.250000% cpu usage
time 260.39, 6.250000% cpu usage
time 260.89, 7.031250% cpu usage
time 261.39, 6.250000% cpu usage
time 261.89, 7.812500% cpu usage
time 262.39, 6.250000% cpu usage
time 262.89, 6.250000% cpu usage
time 263.39, 4.687500% cpu usage
time 263.89, 6.106870% cpu usage
